valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,language
0.213,2002,0.731,['Coldplay'],0.557,309600,0.442,0,75JFxkI2RXiU7L9VXzMkle,1.46E-05,5,0.11,-7.224,1,The Scientist,84,08/08/2002,0.0243,146.277,en
0.806,1992,0.643,['Bobby Helms'],0.754,130973,0.424,0,3hBXvHLlTHvnbwrPbeoyAj,0,2,0.0652,-8.463,1,Jingle Bell Rock,83,01/01/1992,0.0363,119.705,en
0.341,1972,0.432,['Elton John'],0.601,281613,0.532,0,3gdewACMIVMEWVbyb8O9sY,6.25E-06,10,0.0925,-9.119,1,"Rocket Man (I Think It's Going To Be A Long, Long Time)",82,19/05/1972,0.0286,136.571,en
0.243,2003,0.0046,['Linkin Park'],0.496,185587,0.863,0,2nLtzopw4rPReszdYBJU6h,0,9,0.639,-4.153,1,Numb,82,24/03/2003,0.0381,110.018,en
0.875,2002,0.0179,['Red Hot Chili Peppers'],0.618,269000,0.938,0,3ZOEytgrvLwQaqXreDs2Jx,0,9,0.167,-3.442,1,Can't Stop,80,09/07/2002,0.0456,91.455,en
0.465,2002,0.228,['Maroon 5'],0.651,259453,0.663,0,4llK75pXNWZz6KAho2Gp16,0,0,0.0994,-5.569,0,She Will Be Loved - Radio Mix,80,2002,0.0281,102,en
0.296,2003,0.00721,['Evanescence'],0.331,235893,0.943,0,0COqiPhxzoWICwFCS4eZcp,2.06E-06,4,0.242,-3.188,0,Bring Me To Life,80,04/03/2003,0.0698,94.612,en
0.924,2003,0.0249,['Britney Spears'],0.774,198800,0.838,0,6I9VzXrHxO9rA9A5euc8Ak,0.025,5,0.242,-3.914,0,Toxic,80,13/11/2003,0.114,143.04,en
0.809,2002,0.0525,['Maroon 5'],0.712,206200,0.862,0,6ECp64rv50XVz93WvxXMGF,0,5,0.093,-4.612,0,This Love,79,2002,0.0378,95.051,en
0.965,2003,0.103,['OutKast'],0.727,235213,0.974,0,2PpruBYCo4H7WOBJ7Q2EwM,0.000532,4,0.174,-2.261,0,Hey Ya! - Radio Mix,79,2003,0.0664,79.526,en
0.166,2003,0.603,['Alicia Keys'],0.609,228707,0.445,0,3XVBdLihbNbxUwZosxcGuJ,6.77E-06,7,0.104,-9.129,1,If I Ain't Got You,79,02/12/2003,0.106,118.393,en
0.0681,2003,0.0129,['Hoobastank'],0.472,232800,0.671,0,77loZpT5Y5PRP1S451P9Yz,0,4,0.159,-4.649,1,The Reason,79,09/12/2003,0.029,82.952,en
0.454,1992,0.161,['4 Non Blondes'],0.565,295533,0.564,0,0jWgAnTrNZmOGmqgvHhZEm,0,2,0.114,-10.044,1,What's Up?,79,01/01/1992,0.0292,134.355,en
